Raw counts of sequencing reads (TPM)																
		Sample name														
		Donor1_M0	Donor1_M1	Donor1_M2IL10	Donor1_M2IL4	Donor1_TAMlike	Donor2_M0	Donor2_M1	Donor2_M2IL10	Donor2_M2IL4	Donor2_TAMlike	Donor3_M0	Donor3_M1	Donor3_M2IL10	Donor3_M2IL4	Donor3_TAMlike
		Sample number														
		Sp1_M0	Sp1_M1	Sp1_M2IL10	Sp1_M2IL4	Sp1_TAMlike	Sp2_M0	Sp2_M1	Sp2_M2IL10	Sp2_M2IL4	Sp2_TAMlike	Sp3_M0	Sp3_M1	Sp3_M2IL10	Sp3_M2IL4	Sp3_TAMlike
ID	symbol															
ENSG00000177125	ZBTB34	7.26	5.87	8.26	6.04	7.88	6.3	3.63	7.31	4.38	6.49	6.1	4.75	6.83	4.64	4.83
ENSG00000177133		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177138	FAM9B	0.05	0.07	0.05	0.07	0.05	0.26	0.11	0.07	0.04	0.21	0.19	0.06	0.04	0.02	0.07
ENSG00000177143	CETN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177144	NUDT4P1	1.68	3.77	0.7	0.64	2.42	0.7	0.13	2.49	0.56	2.08	3.8	1.83	1.98	0.69	2.48
ENSG00000177150	FAM210A	6.17	5.92	6.58	10.18	15.36	6.86	5.25	7.63	13.68	5.28	8.9	5.01	4.17	13.5	2.57
ENSG00000177151	OR2T35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177156	TALDO1	825.98	733.33	529.32	849.05	313.65	767.3	338.67	675.15	1024.9	499.97	789.93	608.45	612.16	729.77	431.87
ENSG00000177169	ULK1	10.86	14.63	5.04	3.75	18.47	6.59	13.16	11.48	1.7	27.13	14.42	29.21	14.46	3.72	33.72
ENSG00000177173	NAP1L4P1	0.35	0.43	0.32	0.4	0.49	0.21	0.96	0.28	0.61	0.25	0.64	0.7	0.14	1.22	0.15
ENSG00000177174	OR14C36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177181	RIMKLA	0.06	0.05	0.13	0.06	0.66	0.06	0.07	0.07	0.06	0.04	0.07	0.02	0.05	0.07	0.01
ENSG00000177182	CLVS1	0	0.01	0.08	0.05	0.05	0.02	0.06	0.14	0.26	0.08	0.17	0.03	0.02	0.04	0.05
ENSG00000177186	OR2M7	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177189	RPS6KA3	54.98	67.05	48.45	37.26	42.7	52.13	100.03	39.97	50.57	35.53	49.64	114.82	39.59	58.38	23.12
ENSG00000177191	B3GNT8	7.95	9.4	16.98	1.77	11.41	11.21	5.16	9.48	2.63	14.84	7.77	3.08	10.75	2.05	11.94
ENSG00000177192	PUS1	2.88	3.26	4.13	5.69	2.34	3.7	3.12	3.5	5.95	2.23	3.86	2.59	2.92	5.06	2.56
ENSG00000177197	PCNPP5	0.39	0.09	0.18	0	0.58	0.19	0.23	0.13	0.25	0.06	0.08	0	0.06	0.21	0.16
ENSG00000177200	CHD9	26.85	37.61	27.48	35.66	16.05	32.82	39.92	40.29	39.72	28.79	57.41	30.76	32.19	41.81	17.43
ENSG00000177201	OR2T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177202	SPACA4	0	0	0	0.02	0.02	0	0	0	0	0	0.01	0	0	0.01	0
ENSG00000177212	OR2T33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03
ENSG00000177225	PDDC1	12.11	9.2	22.02	21.73	14.38	15.1	7.26	19.93	24.94	20.08	19.72	9.1	21.45	14.87	16.17
ENSG00000177233	OR2M1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177234	C10orf85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177238	TRIM72	0.07	0.07	0.1	0.11	0.1	0.04	0.08	0.04	0.04	0.06	0.06	0.07	0.15	0.16	0.13
ENSG00000177239	MAN1B1	22.61	23.53	23.63	20.13	24.15	19.87	10.89	21.41	16.35	23.13	21.8	15.78	28.45	19.27	37.61
ENSG00000177243	DEFB103B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177257	DEFB4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177261	ENSAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177272	KCNA3	0.07	0.24	0.26	0.04	0.24	0.06	0.29	0.09	0.09	0.17	0.1	0.18	0.29	0.04	0.14
ENSG00000177275	OR2AJ1	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0
ENSG00000177283	FZD8	0.05	0.05	0.11	0.1	0.02	0.07	0.02	0.13	0.05	0.04	0.03	0.05	0.1	0.07	0.06
ENSG00000177291	GJD4	0.02	0.05	0.06	0.03	0.02	0	0.03	0	0.04	0.02	0.02	0.03	0.06	0.02	0.02
ENSG00000177294	FBXO39	0.01	0.05	0.02	0	0.03	0	0.3	0	0	0	0	0.3	0	0.01	0
ENSG00000177300	CLDN22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177301	KCNA2	0.01	0.01	0.01	0.08	0.01	0.35	0	0.1	0.8	0.23	1.06	0.21	0.48	3.42	0.29
ENSG00000177302	TOP3A	13.15	14.45	19.26	14.47	19.32	16.16	15.15	13.72	11.19	18.48	14.84	13.29	17.15	12.74	15.72
ENSG00000177303	CASKIN2	2.26	1.85	3.05	2.39	5.14	1.32	1.02	0.8	1.81	0.96	0.58	1.35	1.08	1.18	1.43
ENSG00000177306	OR7E125P	0	0	0	0	0	0.12	0	0	0	0	0.12	0.1	0.06	0.11	0.31
ENSG00000177311	ZBTB38	20.68	18.06	22.03	21.98	15.01	22.14	21.37	18.41	15.85	21.11	19.94	25.07	23.4	17.34	23.14
ENSG00000177324	BEND2	0.06	0.03	0.04	0.04	0.02	0	0.05	0.02	0.04	0.01	0.01	0.05	0.04	0.05	0.02
ENSG00000177335	C8orf31	0.67	1.78	1.36	0.87	0.94	0.06	1.36	0.14	0.22	0.2	0.42	1.59	0.18	0.46	0.34
ENSG00000177337		22.48	29.15	23.82	9.27	11.97	8.39	16.87	5.31	13.03	32.48	22.43	41.87	33.37	7.61	42.13
ENSG00000177338	LINC00469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177340		0.01	0	0.02	0.02	0.02	0.01	0.2	0	0.06	0	0.01	0.05	0.01	0.06	0.04
ENSG00000177350	RPL13AP3	0	0.1	0.04	0.12	0.08	0.01	0.06	0.05	0.05	0.08	0.07	0	0.05	0	0.04
ENSG00000177352	CCDC71	5.63	6.83	6.34	5.52	7.47	5.69	4.83	4.85	4.34	6.13	4.06	4.71	5.22	3.87	6.88
ENSG00000177354	C10orf71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177359		0.07	0.21	0.07	0.12	0.14	0.08	3.03	0	0	0.03	0.1	0.93	0.09	0.39	0.42
ENSG00000177363	LRRN4CL	0	0.02	0.02	0	0.02	0.01	0.02	0.07	0.01	0.01	0.01	0.02	0.01	0	0
ENSG00000177369		0.11	0.25	0.21	0.14	0.63	0.13	0.17	0.46	0.05	0.26	0.13	0.05	0.27	0.05	0.23
ENSG00000177370	TIMM22	2.96	2.02	3.32	3.78	1.91	2.5	1.57	2.95	3.25	1.7	2.33	1.67	1.87	3.85	1.58
ENSG00000177374	HIC1	0.03	0.04	0.04	0.03	0.58	0.09	0.25	0.03	1.04	0.06	0.04	0.39	0.08	0.52	0.04
ENSG00000177380	PPFIA3	0.11	0.2	0.16	0.44	0.29	0.21	0.06	0.53	0.33	0.14	0.24	0.17	0.26	0.48	0.36
ENSG00000177383	MAGEF1	1.23	3.83	2.4	0.78	0.99	0.45	2.79	1.14	0.4	0.64	1.16	4.45	1.62	0.73	0.93
ENSG00000177398	UMODL1	0.06	0.08	0	0	0	0	0	0.11	0	0.11	0.04	0	0	0	0.14
ENSG00000177400	OR7E8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177406		4.48	6.49	4.84	3.19	7.86	3.29	0.82	2.41	1.18	4.71	2.03	2.15	2.49	0.77	4.13
ENSG00000177409	SAMD9L	19.23	98.49	16.78	20.82	7.38	25.19	477.38	32.59	22.48	16.28	19.73	295.37	15.16	22.35	10.55
ENSG00000177410	ZNFX1-AS1	50.1	64.71	43.65	55.52	173.23	52.19	170.14	43.18	62.56	128.5	91.6	154.81	67.92	79.95	105.5
ENSG00000177414	UBE2U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177418		0	0	0.03	0	0	0	0	0	0	0	0	0.03	0.07	0	0
ENSG00000177425	PAWR	0.04	0.5	0.24	0.01	0.31	0.11	0.37	0.11	0.35	0.12	0.37	0.4	0.12	0.27	0.24
ENSG00000177426	TGIF1	22.9	53.43	20.62	19.02	50.69	21.14	42.22	13.4	21.63	28.74	22.1	66	23.21	20.85	33.37
ENSG00000177427	SMCR7	1.23	1.92	2.03	1.55	2.17	1.73	0.77	1.59	0.91	2.17	1.68	1.4	2.73	0.82	3.26
ENSG00000177432	NAP1L5	0.23	0.32	0.33	0.36	0.09	0.26	1.96	0.38	0.63	0.09	0.17	1.26	0.2	0.76	0.09
ENSG00000177447	CBX3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177452		0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177453		0.3	0.22	0.2	0.26	2.53	0.3	1.38	0.21	0.04	0.23	0.09	0.2	0.33	0.11	0.51
ENSG00000177455	CD19	0.14	0.29	0.15	0.22	0.75	0.11	0.05	0.11	0.11	0.26	0.17	0.17	0.27	0.04	0.62
ENSG00000177459	C8orf47	0	0	0	0	0.02	0	0.01	0	0	0.02	0.04	0	0.01	0	0
ENSG00000177462	OR2T8	0.04	0.03	0.03	0.02	0	0.04	0.02	0.07	0	0.06	0.06	0	0.16	0.02	0.1
ENSG00000177463	NR2C2	9.42	11.91	9.83	7.69	13.45	8.76	9	6.84	6.63	10.65	8.76	11.61	9.18	6.61	10.78
ENSG00000177464	GPR4	0.01	0.01	0.02	0.01	0.02	0	0.03	0.01	0	0.01	0.03	0.01	0.01	0.01	0.02
ENSG00000177465	ACOT4	0.05	0.09	0.09	0.11	0.17	0.35	0.15	0.14	0.23	0.14	0.78	0.44	0.5	0.61	0.19
ENSG00000177468	OLIG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177469	PTRF	0.15	0.4	0.49	4.49	0.3	0.48	12.14	0.43	4.85	0.16	0.92	1.89	1.08	6.53	0.26
ENSG00000177476	OR2G3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177479	ARIH2	26.62	38.38	44.78	37.45	40.73	27.57	48.55	31.15	43.02	29.87	37.05	45.27	30.18	43.58	24.46
ENSG00000177483	RBM44	0.4	0.3	0.17	0.28	0.82	0.18	0.15	0.25	0.2	0.46	0.31	0.15	0.38	0.11	0.32
ENSG00000177485	ZBTB33	10.49	12.87	8.91	17.53	16.02	15.62	16.32	10.44	16.2	16.3	15.58	14.09	8.07	12.37	9.64
ENSG00000177489	OR2G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177494	ZBED2	0	0	0	0.02	0	0	0	0	0	0	0	0.04	0.01	0	0
ENSG00000177504	VCX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177508	IRX3	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0
ENSG00000177511	ST8SIA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177519	RPRM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177535	OR2B11	0.01	0.04	0.07	0.11	0.16	0.06	0.02	0.03	0	0.06	0.02	0.12	0.18	0.05	0
ENSG00000177542	SLC25A22	1.41	2.49	1.87	2.18	1.02	0.89	2.31	1.62	1.83	0.57	0.8	2.47	0.83	3.3	0.75
ENSG00000177548	RABEP2	6.69	6.44	6.67	7.51	5.58	5.96	6.9	5.15	5.2	5.16	6.87	7.09	6.19	6.64	7.2
ENSG00000177551	NHLH2	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0
ENSG00000177553		0.01	0.03	0.04	0.03	0.07	0	0.04	0.01	0.01	0	0.05	0.03	0.03	0.04	0
ENSG00000177556	ATOX1	113.1	244.78	98.13	101.85	49.38	185.44	222.89	135.58	236.81	86.36	171.59	252.58	125.02	211.07	87.17
ENSG00000177558	FAM187B	0	0	0	0	0.02	0	0	0	0	0.01	0.01	0	0	0	0
ENSG00000177565	TBL1XR1	91.21	125.47	119.38	81.24	160.97	64.92	47.57	69.38	77.93	92.83	68.44	80.3	74.13	99.43	52.02
ENSG00000177570	SAMD12	0	0	0.01	0	0	0	0	0	0.01	0	0	0.01	0.01	0.08	0
ENSG00000177575	CD163	1115.74	4035.01	4325.56	1166.48	1802.1	880.17	508.55	3369.13	699.81	1063.08	726.14	920.52	3182.31	371.06	931.63
ENSG00000177576	C18orf32	42.23	42.63	28.32	23.1	53.1	45.99	51.28	60.61	46.91	69.9	46.7	60.03	40.58	30.8	59.01
ENSG00000177586		0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0
ENSG00000177590		0.04	0.13	0.03	0	0.12	0.04	0	0	0	0.11	0	0.02	0.02	0	0
ENSG00000177595	PIDD	0.89	0.76	1.11	1.3	1.6	1.04	1.05	0.69	1.43	1.17	1.55	1.09	1.67	1.52	2.71
ENSG00000177596		0.02	0	0.02	0.01	0.04	0.01	0.01	0.03	0	0.01	0.02	0.04	0.02	0.07	0.02
ENSG00000177599	ZNF491	1.12	0.43	0.97	1.58	1.16	1.35	0.2	1.67	0.81	1.48	0.97	0.17	0.96	0.42	0.98
ENSG00000177600	RPLP2	868.03	558.87	785.23	1307.34	964.36	901.06	454.78	725.9	1224.22	961.62	1091.87	526.42	1075.44	1296.06	1106.22
ENSG00000177602	GSG2	0.18	0.15	0.07	0.09	0.19	0.24	0.02	0.07	0.18	0.25	0.94	0.09	0.31	0.17	0.64
ENSG00000177606	JUN	9.09	8.36	9.75	31.24	28.52	11.71	22.28	12.23	34.19	9.47	16.06	19.45	10.97	24.79	11.19
ENSG00000177613	CSTF2T	9.48	10.87	10.48	10.98	7.08	8.5	10.98	8.09	8.49	6.79	7.28	9.68	7.25	8.4	5.58
ENSG00000177614	PGBD5	0.09	0.02	0.04	0.01	0.88	0.09	0.01	0.06	0.02	0.06	0.35	0.01	0.34	0.38	0.26
ENSG00000177627	C12orf54	0	0.06	0	0	0.14	0	0	0	0.09	0.06	0	0	0	0	0.15
ENSG00000177628	GBA	138.82	160.3	128.89	125.73	110.35	152.81	107.51	168.85	128.91	123.69	109.91	127.12	124.48	107.7	128.52
ENSG00000177640	CASC2	0.28	0.31	0.28	0.13	0.28	0.44	0.23	0.16	0.35	0.28	0.47	0.27	0.24	0.16	0.25
ENSG00000177646	ACAD9	11.53	10.3	10.24	12.32	10.46	13.64	8.08	10.97	11.96	10.91	11.56	6.58	10.63	12.06	10.19
ENSG00000177663	IL17RA	18.01	23.25	25.06	16.03	23.81	18.23	7.92	17.13	12.73	11.82	21.16	17.09	15.72	14.26	12.34
ENSG00000177666	PNPLA2	35.21	70.29	31.87	37.94	74.63	16.24	17.96	16.54	22.15	31.26	23.72	36.78	26.89	20.12	48.84
ENSG00000177669	MBOAT4	0.06	0.18	0.13	0.14	0.18	0.07	0.12	0.09	0.07	0.19	0.13	0.04	0.02	0.06	0.12
ENSG00000177673	C2orf57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177674	AGTRAP	29.99	72.22	24.53	12.69	31.33	29.26	41.23	25.09	19.51	34.8	27.88	54.91	28.57	14.08	42.88
ENSG00000177675	CD163L1	328.51	27.76	484.61	186.72	440.82	423.92	3.89	756.75	120.29	929.01	373.19	8.44	989.57	49.91	800.92
ENSG00000177679	SRRM3	0	0.01	0.01	0.01	0	0	0.01	0	0.06	0	0	0	0	0.01	0
ENSG00000177683	THAP5	10.86	14.64	11.09	13.58	13.03	14.82	13.5	13.5	15.4	14.37	12.74	14.81	11.98	12.85	10.99
ENSG00000177684	DEFB114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177685	EFCAB4A	1.31	0.83	1.6	0.77	1.45	0.69	0.03	1.12	0.22	1.73	1.02	0.1	1.34	0.29	3.59
ENSG00000177688	SUMO4	0.19	0.54	0.32	0.41	0.43	0.25	0.93	0.12	0.18	0.18	0.35	0.39	0.27	0.42	0.46
ENSG00000177689	MAGEB10	0.04	0.03	0	0.01	0.03	0.01	0.03	0.02	0.06	0	0	0.05	0.02	0.04	0.03
ENSG00000177692	DNAJC28	1.95	1.74	1.49	1.79	2.57	2.35	1.65	1.67	1.63	2.35	2.49	2.31	1.59	1.46	1.83
ENSG00000177693	OR4F4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177694	NAALADL2	0.97	0.42	0.31	2.99	2.07	0.38	0.23	0.77	0.94	0.59	0.8	0.12	0.86	0.67	1.2
ENSG00000177697	CD151	187.09	135.46	271.68	326.01	214.06	185.49	73.17	188.94	188.33	151.25	128.21	66.03	151.4	142.67	125.14
ENSG00000177699		0.27	0.56	0.15	0.15	0.04	0.32	0.04	0.21	0.28	0.14	0.36	0.23	0.15	0.29	0.12
ENSG00000177700	POLR2L	56.08	20.52	49.05	70.05	31.16	52.11	8.08	60.3	72.63	43.11	56.09	13.22	52.96	52.51	53.36
ENSG00000177706	FAM20C	41.37	56.24	63.39	51.45	173.2	112.26	7.98	74.04	53.25	58.73	106.45	21.67	82.52	70.56	70.43
ENSG00000177707	PVRL3	0.03	0.2	0.09	0.08	0.09	0.13	2.95	0.27	0.28	0.05	0.4	1.3	0.38	0.2	0.16
ENSG00000177710	SLC35G5	0.11	0.09	0.09	0.05	0.13	0.04	0.07	0.12	0.08	0.14	0.08	0.11	0.09	0.01	0.12
ENSG00000177721	ANXA2R	0.3	0.2	0.55	0.36	0.21	0.36	0.48	0.35	0.03	0.24	0.6	0.99	0.57	0.2	0.5
ENSG00000177725		0.04	0.06	0.03	0.02	0.4	0.01	0	0.07	0.41	0.32	0	0.44	0.02	0.02	0
ENSG00000177728	KIAA0195	60.92	64.55	53.24	35.36	81.16	40.37	32.87	37.19	25.75	69.25	37.36	39.21	56.06	30.21	90.19
ENSG00000177731	FLII	236.92	242.74	257.19	251.2	211.05	222.6	156.71	251.87	214.31	194.17	220.75	195.98	245.8	200.69	229.21
ENSG00000177732	SOX12	0.28	0.42	0.23	0.26	0.47	0.31	0.05	0.23	0.19	0.82	0.51	0.1	0.46	0.24	1.09
ENSG00000177733	HNRNPA0	8.09	8.31	9.07	10.9	10.49	8.49	7.01	6.62	10.14	7.91	8.23	7.66	6.56	8.92	8.8
ENSG00000177736		0.06	0	0	0	0	0	0	0	0	0.17	0	0	0.06	0	0
ENSG00000177738		6.66	3.98	5.05	5.81	7.32	5.2	5.39	6.23	4.46	5.83	6.41	8.32	6.62	2.66	6.98
ENSG00000177752	YIPF7	0	0	0	0	0	0	0.06	0	0.12	0	0.07	0.06	0	0	0.25
ENSG00000177757	FAM87B	0.06	0.07	0.19	0.01	0.07	0.05	0.06	0.02	0.02	0.08	0.09	0.06	0.11	0.12	0.16
ENSG00000177770	CDKN2AIPNLP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177776	RPS2P2	0	0	0	0.03	0	0	0	0	0	0.02	0	0	0	0.03	0
ENSG00000177788		0.68	1.05	0.97	2.85	0.7	0	1.06	0.87	1.39	0.46	1.13	0.57	0	1.28	0.27
ENSG00000177791	MYOZ1	0.15	0.08	0.03	0.12	0.06	0.85	0.08	0.24	0.88	0.19	1.34	0.14	0.64	1.68	0.47
ENSG00000177800	TMEM78	0.04	0.08	0.05	0.02	0.02	0.02	0.35	0	0.04	0.03	0.12	0.26	0.07	0.06	0.01
ENSG00000177803		0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07
ENSG00000177807	KCNJ10	0.13	2.61	0.03	0.02	0.05	0.15	0.12	0.08	0.08	0.03	0.05	0.19	0.02	0.04	0.03
ENSG00000177822		0.02	0	0.07	0.05	0.05	0.01	0.09	0.02	0.02	0.02	0.04	0.01	0.04	0.02	0.02
ENSG00000177830	CHID1	118.6	42.8	88.06	210.88	66.46	89.42	16.04	80.71	116.98	74.58	60.73	17.94	78.13	124.71	103.52
ENSG00000177839	PCDHB9	0.01	0.01	0.06	0.09	0.03	0	0.01	0.01	0.01	0	0	0.01	0.01	0	0.02
ENSG00000177842	ZNF620	0.48	1.01	0.43	0.65	1.04	0.53	2.47	0.75	0.78	0.77	0.91	1.67	0.7	1.61	0.46
ENSG00000177853	ZNF518A	12.11	15.46	14.27	14.05	10.15	11.83	18.16	14.03	11.76	15.22	12.91	15.9	8.26	10.61	7.12
ENSG00000177854	TMEM187	11.12	8.62	13.56	7.82	9.82	10.99	9.92	10.12	5.67	16.14	7.59	6.87	11.44	5.57	9.4
ENSG00000177855		0.4	0.25	0.3	0.25	0.28	0.57	0	0	0	0.16	0	0.28	0	0.43	0.24
ENSG00000177868	CCDC23	19.48	23.3	17.01	16.05	23.27	17.96	17.46	19.08	16.87	23.58	17.06	18.99	15.14	11.86	22.63
ENSG00000177873	ZNF619	3.51	2.75	2.47	2.53	2.49	2.15	3.05	2.41	1.65	2.4	1.29	2.97	1.71	2.63	2.05
ENSG00000177875	C12orf68	0	0.02	0.02	0	0	0	0	0.01	0	0	0	0	0.01	0	0
ENSG00000177879	AP3S1	93.29	107.02	125.67	127.88	153.84	178.58	81.74	179.1	190.39	187.77	207.93	114.8	139.94	156.5	105.01
ENSG00000177885	GRB2	251.45	266.83	256.67	205.71	281.23	181.8	160.3	213.26	140.21	173.68	143.66	232.4	192.18	193.52	193.17
ENSG00000177888	ZBTB41	5.52	6.59	4.9	5.4	6.04	6.03	6.27	4.48	6.21	4.63	5.23	6.7	3.61	4.56	2.5
ENSG00000177889	UBE2N	71.09	54.05	78.24	84.52	43.5	66.59	77.87	60.57	71.56	32.17	51.06	42.39	41.11	68.43	29.21
ENSG00000177910	FAM75C2	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0
ENSG00000177917	ARL6IP6	20.64	30.21	23.75	26.88	29.73	25.26	54.11	28.87	28.14	24.02	28.62	47.91	23.17	18.83	17.91
ENSG00000177932	ZNF354C	1.24	1.34	1.4	1.09	2.06	1.31	0.97	1	0.57	2.18	1.18	0.95	1.22	0.52	1.4
ENSG00000177938	CAPZA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177943	MAMDC4	0.3	0.47	0.52	0.64	1.87	0.36	0.54	0.36	0.64	0.56	0.36	0.68	0.23	0.68	0.67
ENSG00000177946	CENPBD1	5.25	8.19	6.34	4.97	8.62	3.69	2.77	3.88	2.82	4	4.4	4.65	4.94	4.3	4.51
ENSG00000177947	ODF3	0	0	0	0	0	0	0	0	0.03	0	0	0.01	0	0	0.01
ENSG00000177951	BET1L	11.1	10.59	15.01	12.14	18.45	11.07	13.37	11.02	9.85	15.66	10.8	11.18	12.55	10.4	15.45
ENSG00000177954	RPS27	436.28	386.29	317.31	395.2	839.77	501.5	432.88	272.34	382.39	761.16	471.2	445.42	439.44	502.71	733.77
ENSG00000177963	RIC8A	72.02	60.5	86.78	68.06	77.02	75.17	59.8	70.53	49.38	75.1	55.13	59.79	91.63	64.56	76.16
ENSG00000177971	IMP3	15.56	14.6	12.59	21.08	21.06	16.45	15.6	13.51	19.05	17.52	18.73	14.44	11.12	15.42	13.58
ENSG00000177981	ASB8	71.54	51.13	64.12	49.6	43.89	62.08	46.44	54.74	31.91	51.31	50.45	38.92	61.76	51.8	55.24
ENSG00000177984	LCN15	0.02	0.03	0.01	0.02	0.04	0.03	0.04	0.02	0.01	0.02	0.06	0.03	0.04	0.05	0.04
ENSG00000177989	ODF3B	5.69	28.49	17.25	2.89	17.9	5.5	24.72	13.93	3.67	10.45	8.18	35.62	22.34	5.09	22.4
ENSG00000177990	DPY19L2	0.35	0.11	0.69	0.51	0.29	1.24	0.88	0.86	1.31	0.58	0.76	0.5	0.44	0.59	0.38
ENSG00000177992	FAM75E1	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0
ENSG00000177993	ZNRF3-AS1	0.03	0.02	0.02	0.04	0.04	0.02	0.05	0	0.01	0.07	0	0.05	0.04	0.07	0.05
ENSG00000177994	C2orf73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178015	GPR150	0.02	0.03	0	0.01	0	0.07	0.01	0.04	0.06	0.07	0.11	0.07	0.19	0.02	0.08
ENSG00000178021	TSPYL6	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.01
ENSG00000178026	FAM211B	0.13	0.51	0.3	0.16	0.42	0.47	0.29	0.16	0.52	0.69	0.41	0.62	0.45	0.38	1.05
ENSG00000178028	DMAP1	20.83	25.23	20.34	16.39	18.49	20.98	27.86	22.57	17.73	16.87	16.01	24.67	21.16	10.69	21.78
ENSG00000178031	ADAMTSL1	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0
ENSG00000178033	FAM26E	0	0.01	0	0.01	0.04	0.04	0.11	0.08	0	0	0	0.05	0	0	0
ENSG00000178035	IMPDH2	22.2	19.12	19.75	33.92	15.89	20.24	13.4	15.12	29.2	17.23	26.6	11.86	14.96	40.94	22.37
ENSG00000178038	ALS2CL	0.1	0.21	0.21	0.05	2.6	0.16	0.59	0.18	0.09	3.2	0.34	0.38	0.43	0.28	4.13
ENSG00000178053	MLF1	0.31	0.29	0.16	0.27	0.28	0.39	0.31	0.37	0.49	0.22	0.85	0.23	1.15	0.96	1.4
ENSG00000178055	PRSS42	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178057	NDUFAF3	32.02	34.2	34.09	33.98	32.84	33.73	24.38	38.92	39.72	38.39	36.34	32.44	35.36	29.95	41.47
ENSG00000178074	C2orf69	3.46	5.06	4.11	8.28	2.61	5.86	6.59	4.23	9.62	3.84	7.19	5.64	3.36	6.76	2.33
ENSG00000178075	GRAMD1C	0.22	0.2	0.24	0.15	0.18	0.17	0.21	0.13	0.01	0.06	0.27	0.15	0.11	0.12	0.26
ENSG00000178078	STAP2	0.26	0.49	0.03	0.06	0.14	0.24	29.39	0.24	0.67	0.33	0.64	16.75	0.28	0.65	0.53
ENSG00000178081	ULK4P3	0.02	0.28	0.2	0.09	0.57	0.41	0.41	0.35	0	0.3	0.42	0.64	0.52	0.2	0.55
ENSG00000178082		0	0	0	0.09	0.08	0	1.27	0	0.12	0.04	0	1.73	0.09	0.26	0
ENSG00000178084	HTR3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178093	TSSK6	0.31	0.68	0.69	0.33	0.85	0.27	0.26	0.4	0.25	0.74	0.28	0.34	0.66	0.3	0.96
ENSG00000178096	BOLA1	1.81	0.96	1.57	1.29	3.15	1.36	1.07	1.17	0.92	3.5	1.69	0.97	1.69	0.81	4.01
ENSG00000178104	PDE4DIP	451.94	885.07	173.79	113.53	611.98	254.24	626.85	95.61	316.69	417	327.36	681.53	199.61	383.07	520.06
ENSG00000178105	DDX10	9.44	5.06	4.75	12.16	4.03	5.04	6.17	6.93	13.72	3.98	5.04	3.92	2.9	13.85	2.23
ENSG00000178107		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178115		0.13	0.12	0.19	0.16	0.29	0.12	0.81	0.23	0.07	0.36	0.19	0.09	0.2	0.13	0.24
